current_density,density_change,occupancy,capacity,average_speed_multiplier,scenario_crowd_size,arrival_rate,future_density_5step,is_critical_risk
13.112,2.185,2688.0,205.0,0.2,18866,89.7015326034401,16.722,1
6.803,6.803,449.0,66.0,0.2,18866,89.7015326034401,56.742,1
0.0,0.0,0.0,175.0,1.0,18866,89.7015326034401,2.566,1
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
13.834,0.722,2836.0,205.0,0.2,18866,89.7015326034401,17.444,1
18.152,11.349,1198.0,66.0,0.2,18866,89.7015326034401,57.788,1
0.0,0.0,0.0,175.0,1.0,18866,89.7015326034401,6.451,1
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
14.556,0.722,2984.0,205.0,0.2,18866,89.7015326034401,18.166,1
29.5,11.348,1947.0,66.0,0.2,18866,89.7015326034401,58.833,1
0.0,0.0,0.0,175.0,1.0,18866,89.7015326034401,10.337,1
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
15.278,0.722,3132.0,205.0,0.2,18866,89.7015326034401,18.888,1
40.848,11.348,2696.0,66.0,0.2,18866,89.7015326034401,59.879,1
0.0,0.0,0.0,175.0,1.0,18866,89.7015326034401,14.223,1
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
16.0,0.722,3280.0,205.0,0.2,18866,89.7015326034401,19.61,1
52.197,11.349,3445.0,66.0,0.2,18866,89.7015326034401,60.924,1
0.0,0.0,0.0,175.0,1.0,18866,89.7015326034401,18.109,1
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
16.722,0.722,3428.0,205.0,0.2,18866,89.7015326034401,20.332,1
56.742,4.545,3745.0,66.0,0.2,18866,89.7015326034401,61.97,1
2.566,2.566,449.0,175.0,0.2,18866,89.7015326034401,19.429,1
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,1.663,1
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
17.444,0.722,3576.0,205.0,0.2,18866,89.7015326034401,21.054,1
57.788,1.046,3814.0,66.0,0.2,18866,89.7015326034401,63.015,1
6.451,3.885,1129.0,175.0,0.2,18866,89.7015326034401,20.571,1
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,3.441,1
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
18.166,0.722,3724.0,205.0,0.2,18866,89.7015326034401,21.776,1
58.833,1.045,3883.0,66.0,0.2,18866,89.7015326034401,64.061,1
10.337,3.886,1809.0,175.0,0.2,18866,89.7015326034401,21.714,1
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,5.219,1
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
18.888,0.722,3872.0,205.0,0.2,18866,89.7015326034401,22.498,1
59.879,1.046,3952.0,66.0,0.2,18866,89.7015326034401,65.106,1
14.223,3.886,2489.0,175.0,0.2,18866,89.7015326034401,22.857,1
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,6.996,1
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
19.61,0.722,4020.0,205.0,0.2,18866,89.7015326034401,23.22,1
60.924,1.045,4021.0,66.0,0.2,18866,89.7015326034401,66.152,1
18.109,3.886,3169.0,175.0,0.2,18866,89.7015326034401,24.0,1
0.0,0.0,0.0,270.0,1.0,18866,89.7015326034401,8.774,1
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
20.332,0.722,4168.0,205.0,0.2,18866,89.7015326034401,23.22,1
61.97,1.046,4090.0,66.0,0.2,18866,89.7015326034401,66.152,1
19.429,1.32,3400.0,175.0,0.2,18866,89.7015326034401,24.0,1
1.663,1.663,449.0,270.0,0.2,18866,89.7015326034401,8.774,1
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
21.054,0.722,4316.0,205.0,0.2,18866,89.7015326034401,23.22,1
63.015,1.045,4159.0,66.0,0.2,18866,89.7015326034401,66.152,1
20.571,1.142,3600.0,175.0,0.2,18866,89.7015326034401,24.0,1
3.441,1.778,929.0,270.0,0.2,18866,89.7015326034401,8.774,1
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
21.776,0.722,4464.0,205.0,0.2,18866,89.7015326034401,23.22,1
64.061,1.046,4228.0,66.0,0.2,18866,89.7015326034401,66.152,1
21.714,1.143,3800.0,175.0,0.2,18866,89.7015326034401,24.0,1
5.219,1.778,1409.0,270.0,0.2,18866,89.7015326034401,8.774,1
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
22.498,0.722,4612.0,205.0,0.2,18866,89.7015326034401,23.22,1
65.106,1.045,4297.0,66.0,0.2,18866,89.7015326034401,66.152,1
22.857,1.143,4000.0,175.0,0.2,18866,89.7015326034401,24.0,1
6.996,1.777,1889.0,270.0,0.2,18866,89.7015326034401,8.774,1
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
15.699,0.0,2245.0,143.0,0.2,18866,89.7015326034401,15.699,1
23.22,0.722,4760.0,205.0,0.2,18866,89.7015326034401,23.22,1
66.152,1.046,4366.0,66.0,0.2,18866,89.7015326034401,66.152,1
24.0,1.143,4200.0,175.0,0.2,18866,89.7015326034401,24.0,1
8.774,1.778,2369.0,270.0,0.2,18866,89.7015326034401,8.774,1
0.0,0.0,0.0,206.0,1.0,18866,89.7015326034401,0.0,0
0.0,0.0,0.0,1000.0,1.0,18866,89.7015326034401,0.0,0
0.747,0.0,189.0,253.0,0.5,10973,37.763350260575315,3.735,1
0.883,0.0,188.0,213.0,0.2,10973,37.763350260575315,5.296,1
0.0,0.0,0.0,254.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,233.0,1.0,10973,37.763350260575315,0.811,0
0.0,0.0,0.0,196.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
1.494,0.747,378.0,253.0,0.2,10973,37.763350260575315,3.735,1
1.765,0.882,376.0,213.0,0.2,10973,37.763350260575315,5.296,1
0.0,0.0,0.0,254.0,1.0,10973,37.763350260575315,1.484,1
0.0,0.0,0.0,233.0,1.0,10973,37.763350260575315,0.811,0
0.0,0.0,0.0,196.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
2.241,0.747,567.0,253.0,0.2,10973,37.763350260575315,3.735,1
2.648,0.883,564.0,213.0,0.2,10973,37.763350260575315,5.296,1
0.0,0.0,0.0,254.0,1.0,10973,37.763350260575315,2.969,1
0.0,0.0,0.0,233.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,196.0,1.0,10973,37.763350260575315,0.964,1
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
2.241,0.0,567.0,253.0,0.2,10973,37.763350260575315,3.735,1
3.531,0.883,752.0,213.0,0.2,10973,37.763350260575315,5.296,1
0.744,0.744,189.0,254.0,0.5,10973,37.763350260575315,4.453,1
0.0,0.0,0.0,233.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,196.0,1.0,10973,37.763350260575315,0.964,1
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
2.988,0.747,756.0,253.0,0.2,10973,37.763350260575315,3.735,1
4.413,0.882,940.0,213.0,0.2,10973,37.763350260575315,5.296,1
0.744,0.0,189.0,254.0,0.5,10973,37.763350260575315,5.937,1
0.0,0.0,0.0,233.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,196.0,1.0,10973,37.763350260575315,0.964,1
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.747,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.883,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
0.0,-0.744,0.0,254.0,1.0,10973,37.763350260575315,7.421,1
0.811,0.811,189.0,233.0,0.5,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,196.0,1.0,10973,37.763350260575315,0.964,1
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
1.484,1.484,377.0,254.0,0.2,10973,37.763350260575315,7.421,1
0.811,0.0,189.0,233.0,0.5,10973,37.763350260575315,1.618,1
0.0,0.0,0.0,196.0,1.0,10973,37.763350260575315,0.964,1
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
2.969,1.485,754.0,254.0,0.2,10973,37.763350260575315,7.421,1
0.0,-0.811,0.0,233.0,1.0,10973,37.763350260575315,3.236,1
0.964,0.964,189.0,196.0,0.2,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.863,1
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
4.453,1.484,1131.0,254.0,0.2,10973,37.763350260575315,7.421,1
0.0,0.0,0.0,233.0,1.0,10973,37.763350260575315,4.854,1
0.964,0.0,189.0,196.0,0.2,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.863,1
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
5.937,1.484,1508.0,254.0,0.2,10973,37.763350260575315,7.421,1
0.0,0.0,0.0,233.0,1.0,10973,37.763350260575315,6.472,1
0.964,0.0,189.0,196.0,0.2,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.863,1
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
7.421,1.484,1885.0,254.0,0.2,10973,37.763350260575315,7.421,1
0.0,0.0,0.0,233.0,1.0,10973,37.763350260575315,8.09,1
0.964,0.0,189.0,196.0,0.2,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.863,1
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
7.421,0.0,1885.0,254.0,0.2,10973,37.763350260575315,7.421,1
1.618,1.618,377.0,233.0,0.2,10973,37.763350260575315,8.335,1
0.964,0.0,189.0,196.0,0.2,10973,37.763350260575315,1.633,1
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.863,1
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
7.421,0.0,1885.0,254.0,0.2,10973,37.763350260575315,7.421,1
3.236,1.618,754.0,233.0,0.2,10973,37.763350260575315,8.579,1
0.0,-0.964,0.0,196.0,1.0,10973,37.763350260575315,3.265,1
0.863,0.863,189.0,219.0,0.2,10973,37.763350260575315,0.863,1
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
7.421,0.0,1885.0,254.0,0.2,10973,37.763350260575315,7.421,1
4.854,1.618,1131.0,233.0,0.2,10973,37.763350260575315,8.824,1
0.0,0.0,0.0,196.0,1.0,10973,37.763350260575315,4.898,1
0.863,0.0,189.0,219.0,0.2,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.189,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
7.421,0.0,1885.0,254.0,0.2,10973,37.763350260575315,7.421,1
6.472,1.618,1508.0,233.0,0.2,10973,37.763350260575315,9.069,1
0.0,0.0,0.0,196.0,1.0,10973,37.763350260575315,6.531,1
0.863,0.0,189.0,219.0,0.2,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
7.421,0.0,1885.0,254.0,0.2,10973,37.763350260575315,7.421,1
8.09,1.618,1885.0,233.0,0.2,10973,37.763350260575315,9.069,1
0.0,0.0,0.0,196.0,1.0,10973,37.763350260575315,6.531,1
0.863,0.0,189.0,219.0,0.2,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
7.421,0.0,1885.0,254.0,0.2,10973,37.763350260575315,7.421,1
8.335,0.245,1942.0,233.0,0.2,10973,37.763350260575315,9.069,1
1.633,1.633,320.0,196.0,0.2,10973,37.763350260575315,6.531,1
0.863,0.0,189.0,219.0,0.2,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
7.421,0.0,1885.0,254.0,0.2,10973,37.763350260575315,7.421,1
8.579,0.244,1999.0,233.0,0.2,10973,37.763350260575315,9.069,1
3.265,1.632,640.0,196.0,0.2,10973,37.763350260575315,6.531,1
0.863,0.0,189.0,219.0,0.2,10973,37.763350260575315,0.0,0
0.0,0.0,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
7.421,0.0,1885.0,254.0,0.2,10973,37.763350260575315,7.421,1
8.824,0.245,2056.0,233.0,0.2,10973,37.763350260575315,9.069,1
4.898,1.633,960.0,196.0,0.2,10973,37.763350260575315,6.531,1
0.0,-0.863,0.0,219.0,1.0,10973,37.763350260575315,0.0,0
0.189,0.189,189.0,1000.0,1.0,10973,37.763350260575315,0.0,0
3.735,0.0,945.0,253.0,0.2,10973,37.763350260575315,3.735,1
5.296,0.0,1128.0,213.0,0.2,10973,37.763350260575315,5.296,1
7.421,0.0,1885.0,254.0,0.2,10973,37.763350260575315,7.421,1
9.069,0.245,2113.0,233.0,0.2,10973,37.763350260575315,9.069,1
6.531,1.633,1280.0,196.0,0.2,10973,37.763350260575315,6.531,1
0.0,0.0,0.0,219.0,1.0,10973,37.763350260575315,0.0,0
0.0,-0.189,0.0,1000.0,1.0,10973,37.763350260575315,0.0,0
0.671,0.0,106.0,158.0,0.8,17506,21.206315741323635,3.354,1
0.299,0.0,106.0,354.0,1.0,17506,21.206315741323635,0.599,0
0.0,0.0,0.0,218.0,1.0,17506,21.206315741323635,2.431,1
0.0,0.0,0.0,201.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,293.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,1000.0,1.0,17506,21.206315741323635,0.0,0
1.342,0.671,212.0,158.0,0.2,17506,21.206315741323635,3.354,1
0.599,0.3,212.0,354.0,0.8,17506,21.206315741323635,0.599,0
0.0,0.0,0.0,218.0,1.0,17506,21.206315741323635,3.404,1
0.0,0.0,0.0,201.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,293.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,1000.0,1.0,17506,21.206315741323635,0.0,0
1.342,0.0,212.0,158.0,0.2,17506,21.206315741323635,3.354,1
0.599,0.0,212.0,354.0,0.8,17506,21.206315741323635,0.599,0
0.972,0.972,212.0,218.0,0.2,17506,21.206315741323635,3.404,1
0.0,0.0,0.0,201.0,1.0,17506,21.206315741323635,1.055,1
0.0,0.0,0.0,293.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,1000.0,1.0,17506,21.206315741323635,0.0,0
2.013,0.671,318.0,158.0,0.2,17506,21.206315741323635,3.354,1
0.599,0.0,212.0,354.0,0.8,17506,21.206315741323635,0.599,0
1.459,0.487,318.0,218.0,0.2,17506,21.206315741323635,3.89,1
0.0,0.0,0.0,201.0,1.0,17506,21.206315741323635,1.582,1
0.0,0.0,0.0,293.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,1000.0,1.0,17506,21.206315741323635,0.0,0
2.684,0.671,424.0,158.0,0.2,17506,21.206315741323635,3.354,1
0.599,0.0,212.0,354.0,0.8,17506,21.206315741323635,0.599,0
1.945,0.486,424.0,218.0,0.2,17506,21.206315741323635,4.376,1
0.0,0.0,0.0,201.0,1.0,17506,21.206315741323635,2.109,1
0.0,0.0,0.0,293.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,1000.0,1.0,17506,21.206315741323635,0.0,0
3.354,0.67,530.0,158.0,0.2,17506,21.206315741323635,3.354,1
0.599,0.0,212.0,354.0,0.8,17506,21.206315741323635,0.599,0
2.431,0.486,530.0,218.0,0.2,17506,21.206315741323635,4.862,1
0.0,0.0,0.0,201.0,1.0,17506,21.206315741323635,2.637,1
0.0,0.0,0.0,293.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,1000.0,1.0,17506,21.206315741323635,0.0,0
3.354,0.0,530.0,158.0,0.2,17506,21.206315741323635,3.354,1
0.599,0.0,212.0,354.0,0.8,17506,21.206315741323635,0.599,0
3.404,0.973,742.0,218.0,0.2,17506,21.206315741323635,4.862,1
0.0,0.0,0.0,201.0,1.0,17506,21.206315741323635,3.692,1
0.0,0.0,0.0,293.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,1000.0,1.0,17506,21.206315741323635,0.0,0
3.354,0.0,530.0,158.0,0.2,17506,21.206315741323635,3.354,1
0.599,0.0,212.0,354.0,0.8,17506,21.206315741323635,0.599,0
3.404,0.0,742.0,218.0,0.2,17506,21.206315741323635,4.862,1
1.055,1.055,212.0,201.0,0.2,17506,21.206315741323635,3.692,1
0.0,0.0,0.0,293.0,1.0,17506,21.206315741323635,0.724,0
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,1000.0,1.0,17506,21.206315741323635,0.0,0
3.354,0.0,530.0,158.0,0.2,17506,21.206315741323635,3.354,1
0.599,0.0,212.0,354.0,0.8,17506,21.206315741323635,0.599,0
3.89,0.486,848.0,218.0,0.2,17506,21.206315741323635,4.862,1
1.582,0.527,318.0,201.0,0.2,17506,21.206315741323635,4.219,1
0.0,0.0,0.0,293.0,1.0,17506,21.206315741323635,1.085,1
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,1000.0,1.0,17506,21.206315741323635,0.0,0
3.354,0.0,530.0,158.0,0.2,17506,21.206315741323635,3.354,1
0.599,0.0,212.0,354.0,0.8,17506,21.206315741323635,0.599,0
4.376,0.486,954.0,218.0,0.2,17506,21.206315741323635,4.862,1
2.109,0.527,424.0,201.0,0.2,17506,21.206315741323635,4.746,1
0.0,0.0,0.0,293.0,1.0,17506,21.206315741323635,1.447,1
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,0.0,0
0.0,0.0,0.0,1000.0,1.0,17506,21.206315741323635,0.0,0
3.354,0.0,530.0,158.0,0.2,17506,21.206315741323635,3.354,1
0.599,0.0,212.0,354.0,0.8,17506,21.206315741323635,0.599,0
4.862,0.486,1060.0,218.0,0.2,17506,21.206315741323635,4.862,1
2.637,0.528,530.0,201.0,0.2,17506,21.206315741323635,5.274,1
0.0,0.0,0.0,293.0,1.0,17506,21.206315741323635,1.085,1
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,2.304,1
0.0,0.0,0.0,1000.0,1.0,17506,21.206315741323635,0.0,0
3.354,0.0,530.0,158.0,0.2,17506,21.206315741323635,3.354,1
0.599,0.0,212.0,354.0,0.8,17506,21.206315741323635,0.599,0
4.862,0.0,1060.0,218.0,0.2,17506,21.206315741323635,4.862,1
3.692,1.055,742.0,201.0,0.2,17506,21.206315741323635,5.274,1
0.0,0.0,0.0,293.0,1.0,17506,21.206315741323635,1.809,1
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,2.304,1
0.0,0.0,0.0,1000.0,1.0,17506,21.206315741323635,0.0,0
3.354,0.0,530.0,158.0,0.2,17506,21.206315741323635,3.354,1
0.599,0.0,212.0,354.0,0.8,17506,21.206315741323635,0.599,0
4.862,0.0,1060.0,218.0,0.2,17506,21.206315741323635,4.862,1
3.692,0.0,742.0,201.0,0.2,17506,21.206315741323635,5.274,1
0.724,0.724,212.0,293.0,0.5,17506,21.206315741323635,2.532,1
0.0,0.0,0.0,92.0,1.0,17506,21.206315741323635,2.304,1
